"x1","y1","z1","x2","y2","z2","l","r1","r2","p","dl","dr","Q1","Q2","p1","p2","Q1p","Q2p","A1p","A2p"
0.4202,-1.88081,-3.57973,0.621809,-1.89459,-3.64629,0.212758,0.0423994,0.0423994,85,105,-10,0,0,-7.5151,-7.5151,0,0,0,0
0.455953,-2.04435,-3.60113,0.459925,-2.06252,-3.60351,0.0187515,0.0514442,0.0514442,86,89,-10,0,0,-9.11825,-9.11825,0,0,0,0
0.459925,-2.06252,-3.60351,0.543347,-2.44411,-3.65345,0.393782,0.0509396,0.0509396,88,90,-10,0,0,-9.02881,-9.02881,0,0,0,0
0.543347,-2.44411,-3.65345,0.552616,-2.48651,-3.659,0.0437536,0.0508807,0.0508807,89,91,92,0,0,-9.01837,-9.01837,0,0,0,0
0.552616,-2.48651,-3.659,0.557977,-2.61435,-3.70512,0.13602,0.044151,0.044151,90,93,-10,0,0,-7.82556,-7.82556,0,0,0,0
0.552616,-2.48651,-3.659,0.598981,-2.61175,-3.55916,0.16674,0.0357415,0.0357415,90,102,-10,0,0,-6.33502,-6.33502,0,0,0,0
0.557977,-2.61435,-3.70512,0.569985,-2.90073,-3.80845,0.304684,0.0439952,0.0439952,91,94,-10,0,0,-7.79795,-7.79795,0,0,0,0
0.569985,-2.90073,-3.80845,0.572987,-2.97233,-3.83428,0.076171,0.0439487,0.0439487,93,95,-10,0,0,-7.7897,-7.7897,0,0,0,0
0.572987,-2.97233,-3.83428,0.57942,-3.12575,-3.88963,0.163224,0.0438022,0.0438022,94,96,-10,0,0,-7.76374,-7.76374,0,0,0,0
0.57942,-3.12575,-3.88963,0.587931,-3.18968,-3.90504,0.0663122,0.0429994,0.0429994,95,97,-10,0,0,-7.62145,-7.62145,0,0,0,0
0.587931,-3.18968,-3.90504,0.573809,-3.32749,-3.89874,0.138673,0.0401102,0.0401102,96,98,-10,0,0,-7.10935,-7.10935,0,0,0,0
0.573809,-3.32749,-3.89874,0.564395,-3.41936,-3.89454,0.0924488,0.0399065,0.0399065,97,99,-10,0,0,-7.07324,-7.07324,0,0,0,0
0.564395,-3.41936,-3.89454,0.532487,-3.58402,-3.92125,0.16984,0.0388417,0.0388417,98,100,-10,0,0,-6.88451,-6.88451,0,0,0,0
0.532487,-3.58402,-3.92125,0.518128,-3.65812,-3.93326,0.0764281,0.0381155,0.0381155,99,101,-10,0,0,-6.7558,-6.7558,0,0,0,0
0.518128,-3.65812,-3.93326,0.484624,-3.83102,-3.96131,0.178332,0.0380047,0.0380047,100,-10,-10,0,0,-6.73616,-6.73616,0,0,0,0
0.598981,-2.61175,-3.55916,0.67471,-2.81631,-3.3961,0.272343,0.0354222,0.0354222,92,103,-10,0,0,-6.27842,-6.27842,0,0,0,0
0.67471,-2.81631,-3.3961,0.707165,-2.90398,-3.32621,0.116718,0.035028,0.035028,102,104,-10,0,0,-6.20855,-6.20855,0,0,0,0
0.707165,-2.90398,-3.32621,0.728493,-2.94397,-3.30033,0.0521896,0.0343724,0.0343724,103,-10,-10,0,0,-6.09235,-6.09235,0,0,0,0
0.621809,-1.89459,-3.64629,0.742774,-1.90286,-3.68622,0.127655,0.0423175,0.0423175,87,106,-10,0,0,-7.50058,-7.50058,0,0,0,0
0.742774,-1.90286,-3.68622,0.924222,-1.91526,-3.74612,0.191482,0.0422405,0.0422405,105,107,-10,0,0,-7.48693,-7.48693,0,0,0,0
0.924222,-1.91526,-3.74612,1.09217,-1.93778,-3.84728,0.197347,0.0405937,0.0405937,106,108,-10,0,0,-7.19505,-7.19505,0,0,0,0
1.09217,-1.93778,-3.84728,1.12681,-1.94403,-3.85691,0.0364931,0.0386357,0.0386357,107,109,-10,0,0,-6.848,-6.848,0,0,0,0
