"x1","y1","z1","x2","y2","z2","l","r1","r2","Q1","Q2","p1","p2","Q1v","Q2v","p1v","p2v","S1","S2"
-2.44892,1.13396,3.51229,-2.48368,1.11377,3.45132,0.0182953,0.0844505,0.0844505,15.1221,15.1221,-52.6948,-53.02,0,0,0,0,15.1221,15.1221
-2.48368,1.11377,3.45132,-2.51807,1.09281,3.39013,0.0183581,0.0844505,0.0844505,15.1221,15.1221,-53.02,-53.3479,0,0,0,0,15.1221,15.1221
-2.51807,1.09281,3.39013,-2.5521,1.0711,3.32872,0.0184203,0.0844505,0.0844505,15.1221,15.1221,-53.3479,-53.6787,0,0,0,0,15.1221,15.1221
-2.5521,1.0711,3.32872,-2.58577,1.04867,3.26711,0.0184679,0.0844505,0.0844505,15.1221,15.1221,-53.6787,-54.0124,0,0,0,0,15.1221,15.1221
-2.58577,1.04867,3.26711,-2.61445,1.03364,3.20678,0.0146288,0.0844505,0.0650814,15.1221,12.9886,-54.0124,-37.1439,0,0,0,0,15.1221,12.9886
-2.61081,1.03146,3.22078,-2.62539,1.04019,3.16478,0.0146303,0.0447706,0.0650814,2.13343,12.9886,-2.65076,-37.7808,0,0,0,0,2.13343,12.9886
-2.62539,1.04019,3.16478,-2.64165,1.04286,3.10943,0.0144388,0.0650814,0.0650814,12.9886,12.9886,-37.7808,-38.6271,0,0,0,0,12.9886,12.9886
-2.64165,1.04286,3.10943,-2.65966,1.0391,3.05471,0.0144318,0.0650814,0.0650814,12.9886,12.9886,-38.6271,-39.483,0,0,0,0,12.9886,12.9886
-2.65966,1.0391,3.05471,-2.67953,1.02857,3.00062,0.0146427,0.0650814,0.0650814,12.9886,12.9886,-39.483,-40.3617,0,0,0,0,12.9886,12.9886
-2.67953,1.02857,3.00062,-2.68775,1.01881,2.95822,0.0147652,0.0539941,0.0539941,7.87056,7.87056,-25.5487,-26.5852,0,0,0,0,7.87056,7.87056
-2.68775,1.01881,2.95822,-2.70091,1.00808,2.90208,0.0146489,0.0539941,0.0539941,7.87056,7.87056,-26.5852,-27.9784,0,0,0,0,7.87056,7.87056
-2.70091,1.00808,2.90208,-2.71726,1.00009,2.84644,0.0146427,0.0539941,0.0539941,7.87056,7.87056,-27.9784,-29.3922,0,0,0,0,7.87056,7.87056
-2.71726,1.00009,2.84644,-2.73715,0.99445,2.79131,0.0147552,0.0539941,0.0539941,7.87056,7.87056,-29.3922,-30.839,0,0,0,0,7.87056,7.87056
-2.73715,0.99445,2.79131,-2.75265,1.01984,2.77133,0.0146248,0.0539941,0.0419264,7.87056,1.70706,-30.839,-8.36691,0,0,0,0,7.87056,1.70706
-2.75265,1.01984,2.77133,-2.77325,1.07315,2.75887,0.0146269,0.0419264,0.0419264,1.70706,1.70706,-8.36691,-9.49759,0,0,0,0,1.70706,1.70706
-2.77325,1.07315,2.75887,-2.79385,1.12646,2.74642,0.0146248,0.0419264,0.0419264,1.70706,1.70706,-9.49759,-10.6408,0,0,0,0,1.70706,1.70706
-2.79385,1.12646,2.74642,-2.81445,1.17977,2.73396,0.0146269,0.0419264,0.0419264,1.70706,1.70706,-10.6408,-11.797,0,0,0,0,1.70706,1.70706
-2.81445,1.17977,2.73396,-2.82749,1.21823,2.71921,0.0148158,0.0419264,0.0240892,1.70706,0.727486,-11.797,59.727,0,0,0,0,1.70706,0.727486
-2.83619,1.21898,2.71725,-2.88668,1.26145,2.67889,0.018209,0.0326095,0.0185563,0.979573,0.637113,15.4181,99.6149,0,0,0,0,0.979573,0.637113
-2.87053,1.25664,2.68579,-2.93513,1.27588,2.6582,0.0182052,0.0194082,0.0185563,0.34246,0.637113,98.3051,72.2524,0,0,0,0,0.34246,0.637113
-2.93513,1.27588,2.6582,-2.98226,1.27855,2.6517,0.0119097,0.0185563,0.0185563,0.637113,0.637113,72.2524,44.536,0,0,0,0,0.637113,0.637113
-2.98226,1.27855,2.6517,-3.01481,1.2532,2.67049,0.0113306,0.0185563,0.0185563,0.637113,0.637113,44.536,12.5908,0,0,0,0,0.637113,0.637113
-3.01481,1.2532,2.67049,-3.03523,1.19391,2.71806,0.0196813,0.0185563,0.0185563,0.637113,0.637113,12.5908,-112.5,0,0,0,0,0.637113,0.637113
-2.88186,1.2582,2.6753,-2.92621,1.26563,2.63335,0.014994,0.0194082,0.0194082,0.34246,0.34246,95.2786,82.8149,0,0,0,0,0.34246,0.34246
-2.92621,1.26563,2.63335,-2.96587,1.27748,2.59143,0.0140016,0.0194082,0.0194082,0.34246,0.34246,82.8149,70.0714,0,0,0,0,0.34246,0.34246
-2.96587,1.27748,2.59143,-2.99742,1.29273,2.54955,0.0127628,0.0194082,0.0194082,0.34246,0.34246,70.0714,57.3862,0,0,0,0,0.34246,0.34246
-2.99742,1.29273,2.54955,-3.01742,1.3104,2.50771,0.0117198,0.0194082,0.0194082,0.34246,0.34246,57.3862,44.9229,0,0,0,0,0.34246,0.34246
-3.01742,1.3104,2.50771,-3.02448,1.33023,2.46591,0.0118661,0.0194082,0.0194082,0.34246,0.34246,44.9229,32.2239,0,0,0,0,0.34246,0.34246
-3.02448,1.33023,2.46591,-3.02446,1.35439,2.42414,0.0127023,0.0194082,0.0194082,0.34246,0.34246,32.2239,17.8885,0,0,0,0,0.34246,0.34246
-3.02446,1.35439,2.42414,-3.02423,1.38473,2.38241,0.0135111,0.0194082,0.0194082,0.34246,0.34246,17.8885,0.578182,0,0,0,0,0.34246,0.34246
-3.02423,1.38473,2.38241,-3.02368,1.42022,2.34071,0.014231,0.0194082,0.0194082,0.34246,0.34246,0.578182,-21.3135,0,0,0,0,0.34246,0.34246
-3.02368,1.42022,2.34071,-3.02267,1.45979,2.29905,0.0148043,0.0194082,0.0194082,0.34246,0.34246,-21.3135,-52.3074,0,0,0,0,0.34246,0.34246
-3.02267,1.45979,2.29905,-3.02159,1.49132,2.26783,0.0147902,0.0194082,0.0194082,0.34246,0.34246,-52.3074,-112.5,0,0,0,0,0.34246,0.34246
-2.82749,1.21823,2.71921,-2.83775,1.26554,2.68619,0.0141836,0.0240892,0.0240892,0.727486,0.727486,59.727,51.455,0,0,0,0,0.727486,0.727486
-2.83775,1.26554,2.68619,-2.84529,1.31325,2.65773,0.0135689,0.0240892,0.0240892,0.727486,0.727486,51.455,43.1284,0,0,0,0,0.727486,0.727486
-2.84529,1.31325,2.65773,-2.85049,1.36135,2.6345,0.0130271,0.0240892,0.0240892,0.727486,0.727486,43.1284,34.7144,0,0,0,0,0.727486,0.727486
-2.85049,1.36135,2.6345,-2.85374,1.40984,2.61716,0.0125978,0.0240892,0.0240892,0.727486,0.727486,34.7144,26.1407,0,0,0,0,0.727486,0.727486
-2.85374,1.40984,2.61716,-2.85541,1.4587,2.60635,0.0123586,0.0240892,0.0240892,0.727486,0.727486,26.1407,17.2768,0,0,0,0,0.727486,0.727486
-2.85541,1.4587,2.60635,-2.85565,1.50794,2.60233,0.0123843,0.0240892,0.0240892,0.727486,0.727486,17.2768,7.89591,0,0,0,0,0.727486,0.727486
-2.85565,1.50794,2.60233,-2.85356,1.55757,2.60354,0.0125782,0.0240892,0.0240892,0.727486,0.727486,7.89591,-2.33416,0,0,0,0,0.727486,0.727486
-2.85356,1.55757,2.60354,-2.84787,1.60762,2.6078,0.012881,0.0240892,0.0240892,0.727486,0.727486,-2.33416,-13.8241,0,0,0,0,0.727486,0.727486
-2.84787,1.60762,2.6078,-2.83895,1.65808,2.61577,0.0132872,0.0240892,0.0240892,0.727486,0.727486,-13.8241,-27.2049,0,0,0,0,0.727486,0.727486
-2.83895,1.65808,2.61577,-2.82726,1.70895,2.62821,0.0138473,0.0240892,0.0240892,0.727486,0.727486,-27.2049,-43.739,0,0,0,0,0.727486,0.727486
-2.82726,1.70895,2.62821,-2.81324,1.7602,2.64589,0.0145338,0.0240892,0.0240892,0.727486,0.727486,-43.739,-67.005,0,0,0,0,0.727486,0.727486
-2.81324,1.7602,2.64589,-2.8016,1.79887,2.66243,0.0145491,0.0240892,0.0240892,0.727486,0.727486,-67.005,-112.5,0,0,0,0,0.727486,0.727486
